date,TSMC,ASML,AM,SUMCO
2022-06-11,1259,582,20,4
2022-06-12,1012,526,14,1
2022-06-13,2155,458,4,33
2022-06-14,1153,539,24,9
2022-06-15,1216,1872,27,1
2022-06-16,1243,1867,31,3
2022-06-17,2268,1259,4,0
2022-06-18,2090,1360,7,0
2022-06-19,1386,643,6,1
2022-06-20,1461,646,2,0
2022-06-21,1108,954,3,0
2022-06-22,1272,903,8,3
2022-06-23,1144,749,14,0
